model,condition,size,status,coord_is_baseline,coordinator_record,coordinator_valid,coordinator_quads,coordinator_deficit,coordinator_rms,static_record,static_quads,static_deficit,static_rms,within_5_percent,logical_attempts,native_calls
B33,simple_defect,uniform,static_no_valid,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/coordinator_v4_development/runs/B33/full/r1_remove_0/result.json,True,918,4.883457361463778,0.007793714131025035,,,,,False,2,0
B33,simple_defect,allocated,static_dominates,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/coordinator_v4_development/runs/B33/full/r1_remove_0/result.json,True,918,4.883457361463778,0.007793714131025035,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B33__simple_defect__allocated_1/result.json,883,2.6636263909960176,0.007158567582786763,True,2,0
B34,none,uniform,equivalent,True,research://source-repository/research_runs/2026-09-20_cad_decision_v2/heldout/frozen_proposals/B34/baseline_diagnosis.json,True,483,0.23897138288141476,0.030050611678607994,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B34__none__uniform_0/result.json,483,0.23897138288141476,0.030050611678607994,True,1,0
B34,none,allocated,tradeoff,True,research://source-repository/research_runs/2026-09-20_cad_decision_v2/heldout/frozen_proposals/B34/baseline_diagnosis.json,True,483,0.23897138288141476,0.030050611678607994,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B34__none__allocated_0/result.json,464,0.21053807495582627,0.03484730514903215,True,1,1
B34,all,uniform,tradeoff,True,research://source-repository/research_runs/2026-09-20_cad_decision_v2/heldout/frozen_proposals/B34/baseline_diagnosis.json,True,483,0.23897138288141476,0.030050611678607994,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B34__all__uniform_0/result.json,483,0.20180295950078492,0.03013807516425504,True,1,1
B34,all,allocated,tradeoff,True,research://source-repository/research_runs/2026-09-20_cad_decision_v2/heldout/frozen_proposals/B34/baseline_diagnosis.json,True,483,0.23897138288141476,0.030050611678607994,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B34__all__allocated_0/result.json,490,0.0024502468061276665,0.03349758092299159,True,1,1
B34,simple_defect,uniform,equivalent,True,research://source-repository/research_runs/2026-09-20_cad_decision_v2/heldout/frozen_proposals/B34/baseline_diagnosis.json,True,483,0.23897138288141476,0.030050611678607994,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B34__simple_defect__uniform_0/result.json,483,0.23897138288141476,0.030050611678607994,True,1,0
B34,simple_defect,allocated,tradeoff,True,research://source-repository/research_runs/2026-09-20_cad_decision_v2/heldout/frozen_proposals/B34/baseline_diagnosis.json,True,483,0.23897138288141476,0.030050611678607994,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B34__simple_defect__allocated_0/result.json,464,0.21053807495582627,0.03484730514903215,True,1,0
B61,none,uniform,coordinator_dominates,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/coordinator_v4_development/runs/B61/full/r0_size_1/result.json,True,512,12.943414445296767,0.026097166123762616,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B61__none__uniform_0/result.json,516,76.57385567354589,0.0463199056696976,True,1,1
B61,none,allocated,coordinator_dominates,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/coordinator_v4_development/runs/B61/full/r0_size_1/result.json,True,512,12.943414445296767,0.026097166123762616,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B61__none__allocated_0/result.json,504,85.22442627817632,0.05807148141496789,True,1,1
